마우스	1.458
원숭이	1.277
밖	0.0
미역	1.853
보트	1.461
기세	1.482
화려함	1.901
패널	1.030
영국	1.154
원인	1.321
쓸모	0.796
학업	1.268
허가	1.242
일기	1.507
촬영	1.277
외국인	1.414
삼겹살	1.640
밀도	1.194
지출	1.561
진보	1.321
인생	1.575
야구	1.550
미션	1.228
시뮬레이션	1.721
자질	1.011
컨셉트	1.819
장치	1.311
대성당	1.609
로드맵	1.099
입국	1.889
생산량	1.634
탑재	1.475
소셜네트워크	1.615
탈출	1.475
날짜	0.868
창고	2.106
뒷면	1.475
장수	2.390
키노트	1.872
답장	1.277
대중화	1.852
빌딩	1.697
후추	1.464
소문	1.550
항공편	1.611
효소	2.163
모토	1.604
탑승	1.099
그렇게	-0.974
단독	1.154
선정	1.303
지경	0.0
취재진	1.777
조사	1.561
학자	1.149
벚꽃	1.729
오늘날	1.0
일부분	0.0
클럽	1.712
인맥	0.943
할인	0.868
시기	0.965
여당	1.804
기업가	1.557
주인장	0.0
메일상자	1.011
출발	1.468
간식	1.609
문제	1.562
표면	1.330
연령대	1.277
옷	1.517
깊숙	0.868
어묵	1.036
연구자	1.168
수영장	1.154
정취	1.220
공식입장	1.165
책	1.752
음반	0.983
애니메이션	1.004
동부	1.404
등지	1.360
리듬	1.079
독자	1.561
화요일	0.0
컴파일	1.963
수집	1.696
과제	1.079
도전	1.352
신용카드	1.075
알파벳	1.753
내부	1.242
레이스	2.005
수직	0.974
축구	1.367
나라	1.771
코치	2.003
집중력	1.727
직관	1.157
발표자	1.321
생활비	1.505
이유	1.417
극단	0.868
십자가	1.280
요정	1.061
공장	1.798
밸리	1.099
임팩트	1.543
폭발	1.494
친밀	1.088
신작	1.807
플러그	1.609
채용	1.561
명시	1.666
자외선	1.775
첨가물	1.488
생방송	1.264
경주	1.321
출국	1.079
통로	1.969
wwdc	1.427
증후군	1.980
다큐멘터리	1.228
낭비	1.414
유적	1.264
독립	1.133
이민자	1.332
의존	1.561
덕목	1.733
온천	1.848
접수	1.440
디카	2.163
시카고	1.778
화제	0.974
공헌	1.280
취약점	1.305
스태프	2.133
주행	1.930
협력	1.735
설계	1.560
협의	1.452
보다	-0.916
센터	1.705
디자인	1.941
앞뒤	0.0
용량	1.194
성적	1.471
